"Party Name","GST/IN","Email/EmailCC","Phone/Mobile Numbers","Address"
"A1 Bakery",,"","9688039563
","No.10, 11 RR Sabha uilding, Trichy,"
"A4 Bond Paper",,"","",""
"Abinayas","33DCZPG5418N1ZX","","6381836580
","First Floor, 999, J.J.Mahal, Sakthi nagar,
Trichy"
"ABCD Events",,"","9842520269
","No.41, Varaganeri Bazar, Trichy"
"Additonal Charge",,"","",""
"AGAM Marbles and Granites","33DVRPK3738Q1ZP","","8525820108
","Tolgate, Trichy"
"Airtel",,"","",""
"Ajji Syrup Stall",,"","9842499226
","No:46, Main Road, Lalgudi"
"AKA Bakery",,"","","Tamilnadu"
"AKA Food Point","33BOGPA5697J2ZP","","9600801482
","No:4/350, Main Road, Irungalur, Trichy"
"AKA I Magic","33BOGPA5697J2ZP","","9600801482
","No:4/350, Main Road, Irungalur,
Trichy"
"AKR Industry","33ADYPA0682M2Z6","","9698155537
","No:4/350, Main Road, Irungalur,
Trichy"
"Ammayappan Juice Centre",,"","","Srirangam, Trichy 620006"
"Amul - Ariyalur",,"","",""
"Ananda Stores",,"","9843130631
","No.75, V.O.C Street, MK Kottai,
Trichy"
"Aruna Super Market","33AYFPR1526B1ZW","","9787363456
","No.1/4, MRV . Nagar, Near LIC Office, Boovalur Road,
Elangan Lorry, Lalgudi,
Trichy"
"ARCHANAS ANNALAKSHMI RESTARUNT",,"","7373711163
","Melur Road, Srirangam,
Trichy"
"ARS Catering",,"","9585738306
","Srirangam, Trichy"
"Aswins Home Special","33AAZFA3291L1ZW","","7708766111
",""
"Aswins Home Special - Chatram","33AAZFA3291L1ZW","","","No.2/3, 57/58, Karur Bye Pass Road,
Near Chatram Bus Stand, Srirangam,
Trichy - 620006"
"Aswins Home Special - Junction","33AAZFA3291L1ZW","","9790241401
","Bus stand, 9A, Rocking Road, Kavitha Hotel,
Opposite to Central Bus Stand,
Trichy"
"Aswins Home Special - K.K.Nagar","33AAZFA3291L1ZW","","","No.50A, Sathanur Main Road, Sundar Nagar,
K.K.Nagar, Trichy"
"Aswins Home Special - Lalgudi","33AAZFA3291L1ZW","","9790241401
","No.43, Trichy Main Road,
Siruthaiur, Lalgudi"
"Aswins Home Special - Tiruverambur","33AAZFA3291L1ZW","","7708766111
","No.48/5B, NA, Tanjore Main Road,
Opp to Malaikovil Bus Stop,
Tiruverambur, Trichy"
"Aswins Home Special - Vayalur","33AAZFA3291L1ZW","","","No.6, Bharathi Nagar, Vayalur Road,
Near Bishop Heber College,
Trichy"
"Aswins Home SPecial - Perambalur","33AAZFA3291L1ZW","","9790241401
","Door No. 8/170A, Eraiyasamuthiram Village, Kalpadi North,
Chennai Trichy NH Road,
Perambalur"
"Auditor",,"","",""
